id,status,currency,country_code,country_name
2206,abandoned,NGN,null,null
2207,success,NGN,NG,Nigeria
2208,success,NGN,NG,Nigeria
2209,abandoned,NGN,null,null
2210,success,NGN,NG,Nigeria
2211,abandoned,NGN,null,null
2212,success,NGN,NG,Nigeria
2213,success,NGN,NG,Nigeria
2214,abandoned,NGN,null,null
2215,success,NGN,NG,Nigeria
2216,abandoned,NGN,null,null
2217,success,NGN,NG,Nigeria
2218,abandoned,NGN,null,null
2219,success,NGN,NG,Nigeria
2220,success,NGN,NG,Nigeria
2221,abandoned,NGN,null,null
2222,success,NGN,NG,Nigeria
2223,abandoned,NGN,null,null
2224,abandoned,NGN,null,null
2225,reversed,NGN,NG,Nigeria
2226,success,NGN,NG,Nigeria
2227,abandoned,NGN,null,null
2228,success,NGN,NG,Nigeria
2229,success,NGN,NG,Nigeria
2230,abandoned,NGN,null,null
2231,abandoned,NGN,null,null
2232,success,USD,US,United States
2233,success,USD,US,United States
2234,abandoned,NGN,null,null
2235,abandoned,USD,US,United States
2236,failed,NGN,NG,Nigeria
2237,abandoned,NGN,null,null
2238,success,NGN,NG,Nigeria
2239,success,NGN,NG,Nigeria
2240,abandoned,NGN,null,null
2241,abandoned,NGN,null,null
2242,abandoned,NGN,null,null
2243,success,NGN,GH,Ghana
2244,abandoned,NGN,null,null
2245,abandoned,NGN,null,null
2246,success,NGN,NG,Nigeria
2247,success,NGN,NG,Nigeria
2248,failed,NGN,NG,Nigeria
2249,success,NGN,NG,Nigeria
2250,success,NGN,NG,Nigeria
2251,abandoned,NGN,null,null
2252,success,NGN,NG,Nigeria
2253,abandoned,USD,US,United States
2254,failed,USD,CA,Canada
2255,abandoned,USD,US,United States
2256,success,NGN,NG,Nigeria
2257,success,NGN,NG,Nigeria
2258,success,NGN,NG,Nigeria
2259,success,NGN,NG,Nigeria
2260,success,NGN,NG,Nigeria
2261,success,NGN,NG,Nigeria
2262,success,NGN,NG,Nigeria
2263,success,USD,null,null
2264,reversed,NGN,NG,Nigeria
2265,abandoned,NGN,null,null
2266,success,NGN,NG,Nigeria
2267,success,NGN,NG,Nigeria
2268,success,NGN,NG,Nigeria
2269,success,USD,US,United States
2270,success,NGN,NG,Nigeria
2271,abandoned,NGN,null,null
2272,abandoned,NGN,null,null
2273,success,NGN,NG,Nigeria
2274,abandoned,NGN,null,null
2275,abandoned,NGN,null,null
2276,success,NGN,NG,Nigeria
2277,abandoned,NGN,null,null
2278,success,NGN,NG,Nigeria
2279,abandoned,NGN,null,null
2280,success,NGN,NG,Nigeria
2281,abandoned,NGN,null,null
2282,abandoned,NGN,null,null
2283,abandoned,NGN,null,null
2284,success,NGN,NG,Nigeria
2285,success,NGN,NG,Nigeria
2286,reversed,NGN,NG,Nigeria
2287,success,NGN,NG,Nigeria
2288,abandoned,NGN,null,null
2289,failed,NGN,NG,Nigeria
2290,abandoned,NGN,null,null
2291,abandoned,NGN,null,null
2292,failed,NGN,GB,United States
2293,failed,USD,null,null
2294,abandoned,NGN,null,null
2295,abandoned,NGN,null,null
2296,abandoned,NGN,null,null
2297,success,NGN,NG,Nigeria
2298,abandoned,NGN,null,null
2299,failed,NGN,NG,Nigeria
2300,success,NGN,NG,Nigeria
2301,success,USD,US,United States
2302,success,NGN,NG,Nigeria
2303,abandoned,NGN,null,null
2304,abandoned,USD,NA,Nigeria
2305,failed,NGN,NG,Nigeria
2306,success,NGN,NG,Nigeria
2307,failed,NGN,NG,Nigeria
2308,abandoned,NGN,null,null
2309,success,NGN,NG,Nigeria
2310,success,NGN,NG,Nigeria
2311,failed,NGN,NG,Nigeria
2312,abandoned,NGN,null,null
2313,abandoned,USD,null,null
2314,failed,NGN,US,United States
2315,failed,NGN,NG,Nigeria
2316,success,NGN,NG,Nigeria
2317,failed,NGN,NG,Nigeria
2318,success,NGN,NG,Nigeria
2319,success,NGN,NG,Nigeria
2320,failed,NGN,NG,Nigeria
2321,failed,NGN,NG,Nigeria
2322,abandoned,NGN,null,null
2323,abandoned,NGN,null,null
2324,success,NGN,NG,Nigeria
2325,success,USD,GB,United Kingdom
2326,abandoned,USD,null,null
2327,success,NGN,NG,Nigeria
2328,abandoned,NGN,NG,Nigeria
2329,success,NGN,NG,Nigeria
2330,success,NGN,NG,Nigeria
2331,failed,NGN,null,null
2332,abandoned,NGN,null,null
2333,failed,NGN,NG,Nigeria
2334,abandoned,NGN,null,null
2335,abandoned,NGN,null,null
2336,success,NGN,NG,Nigeria
2337,success,NGN,NG,Nigeria
2338,failed,NGN,NG,Nigeria
2339,success,NGN,NG,Nigeria
2340,success,NGN,NG,Nigeria
2341,success,NGN,GB,United Kingdom
2342,success,NGN,NG,Nigeria
2343,abandoned,USD,US,United States
2344,success,NGN,NG,Nigeria
2345,success,NGN,NG,Nigeria
2346,success,NGN,NG,Nigeria
2347,abandoned,NGN,null,null
2348,success,USD,US,United States
2349,abandoned,USD,US,United States
2350,success,NGN,NG,Nigeria
2351,abandoned,NGN,NG,Nigeria
2352,abandoned,NGN,null,null
2353,success,NGN,NG,Nigeria
2354,abandoned,USD,null,null
2355,success,NGN,NG,Nigeria
2356,success,USD,JP,Japan
2357,abandoned,NGN,NG,Nigeria
2358,abandoned,NGN,null,null
2359,abandoned,NGN,null,null
2360,abandoned,USD,null,null
2361,failed,USD,GB,United Kingdom
2362,success,NGN,NG,Nigeria
2363,success,NGN,NG,Nigeria
2364,success,NGN,NG,Nigeria
2365,abandoned,NGN,null,null
2366,success,NGN,NG,Nigeria
2367,abandoned,NGN,null,null
2368,abandoned,USD,null,null
2369,success,NGN,NG,Nigeria
2370,abandoned,NGN,null,null
2371,failed,NGN,NG,Nigeria
2372,abandoned,NGN,null,null
2373,abandoned,USD,CA,Canada
2374,abandoned,NGN,null,null
2375,success,NGN,NG,Nigeria
2376,failed,NGN,NG,Nigeria
2377,success,NGN,NG,Nigeria
2378,abandoned,NGN,NG,Nigeria
2379,abandoned,NGN,null,null
2380,abandoned,NGN,GB,United Kingdom
2381,abandoned,NGN,null,null
2382,abandoned,NGN,null,null
2383,failed,NGN,NG,Nigeria
2384,reversed,NGN,NG,Nigeria
2385,success,NGN,NG,Nigeria
2386,failed,NGN,NG,Nigeria
2387,success,NGN,NG,Nigeria
2388,success,NGN,NG,Nigeria
2389,abandoned,NGN,NG,Nigeria
2390,success,NGN,NG,Nigeria
2391,success,USD,US,United States
2392,success,NGN,NG,Nigeria
2393,success,USD,QA,Qatar
2394,abandoned,NGN,null,null
2395,success,NGN,NG,Nigeria
2396,failed,NGN,NG,Nigeria
2397,abandoned,NGN,null,null
2398,abandoned,USD,null,null
2399,success,NGN,NG,Nigeria
2400,success,NGN,NG,Nigeria
2401,failed,USD,null,null
2402,success,NGN,NG,Nigeria
2403,failed,NGN,NG,Nigeria
2404,success,NGN,NG,Nigeria
2405,success,NGN,NG,Nigeria
2406,abandoned,NGN,null,null
2407,success,NGN,NG,Nigeria
2408,abandoned,NGN,null,null
2409,abandoned,NGN,null,null
2410,failed,USD,US,United States
2411,success,NGN,NG,Nigeria
2412,abandoned,USD,null,null
2413,abandoned,NGN,ZA,South Africa
2414,abandoned,NGN,null,null
2415,abandoned,USD,US,United States
