id,status,currency,country_code,country_name
326,success,NGN,NG,Nigeria
328,success,NGN,NG,Nigeria
331,success,USD,US,United States
333,failed,NGN,NG,Nigeria
335,success,NGN,NG,Nigeria
338,failed,USD,US,United States
339,success,NGN,NG,Nigeria
342,success,NGN,NG,Nigeria
343,success,USD,US,United States
344,success,NGN,NG,Nigeria
345,success,NGN,NG,Nigeria
346,success,NGN,NG,Nigeria
353,success,NGN,NG,Nigeria
355,success,NGN,NG,Nigeria
357,failed,NGN,BD,Bangladesh
358,success,USD,US,United States
362,failed,USD,NA,Namibia
363,success,NGN,NG,Nigeria
364,success,NGN,NG,Nigeria
365,success,NGN,NG,Nigeria
368,success,NGN,NG,Nigeria
369,failed,NGN,NG,Nigeria
371,failed,NGN,GB,United Kingdom
373,success,NGN,NG,Nigeria
374,success,NGN,NG,Nigeria
376,failed,NGN,NG,Nigeria
378,abandoned,NGN,NG,Nigeria
381,success,NGN,NG,Nigeria
382,success,NGN,NG,Nigeria
383,success,NGN,NG,Nigeria
384,success,NGN,NG,Nigeria
388,success,NGN,NG,Nigeria
389,success,NGN,NG,Nigeria
390,abandoned,USD,US,United States
393,success,NGN,NG,Nigeria
397,success,USD,ZA,South Africa
398,success,NGN,GB,United Kingdom
399,success,NGN,NG,Nigeria
402,reversed,NGN,NG,Nigeria
403,success,NGN,NG,Nigeria
404,success,NGN,NG,Nigeria
407,success,NGN,NG,Nigeria
408,success,NGN,NG,Nigeria
409,success,NGN,NG,Nigeria
410,success,NGN,GB,United Kingdom
411,reversed,NGN,NG,Nigeria
412,failed,NGN,CA,Canada
413,success,NGN,NG,Nigeria
414,failed,NGN,NG,Nigeria
416,failed,NGN,NG,Nigeria
418,success,NGN,NG,Nigeria
420,success,NGN,NG,Nigeria
423,success,NGN,NG,Nigeria
425,failed,NGN,US,United States
427,success,NGN,NG,Nigeria
430,success,NGN,NG,Nigeria
431,success,NGN,NG,Nigeria
432,success,NGN,NG,Nigeria
433,success,NGN,NG,Nigeria
435,success,NGN,NG,Nigeria
436,success,USD,JP,Japan
437,success,NGN,NG,Nigeria
442,success,NGN,NG,Nigeria
443,success,NGN,NG,Nigeria
446,success,NGN,NG,Nigeria
450,reversed,USD,GB,United Kingdom
453,success,NGN,NG,Nigeria
458,success,NGN,NG,Nigeria
459,failed,USD,US,Nigeria
465,failed,NGN,NG,Nigeria
466,success,NGN,NG,Nigeria
467,failed,NGN,US,United States
470,success,NGN,NG,Nigeria
471,success,NGN,NG,Nigeria
476,failed,NGN,NG,Nigeria
